AP1,FD,FTa1,FTa2,FTa3,FTb,FTc,LFY,TFL1a,TFL1c
18.55490025756345,4.300000000000002,2.83,28.28,1.348,14.17,7.23,18.1149574933352,1.783367475242315,2.2288626200298083
18.55490025756345,3.52,2.83,28.28,0.51,14.17,7.23,31.0,1.783367475242315,2.7260000000000013
18.55490025756345,3.683967545753181,2.83,28.28,0.892,14.17,7.23,20.0,1.783367475242315,2.2288626200298083
18.55490025756345,3.683967545753181,2.83,28.28,0.6739999999999999,14.17,7.23,83.0,1.9360000000000015,3.1649999999999987
18.55490025756345,5.210000000000001,2.83,28.28,1.109,14.17,7.23,18.1149574933352,1.783367475242315,4.7029999999999985
18.55490025756345,6.490000000000002,4.0,28.28,0.51,14.17,7.23,119.0,3.3969999999999985,2.154
18.55490025756345,3.683967545753181,2.83,60.0,0.51,14.17,7.23,116.0,7.377000000000002,9.802
18.55490025756345,3.683967545753181,3.0,28.28,0.51,14.17,7.23,18.1149574933352,1.783367475242315,2.2288626200298083
32.0,4.93,4.0,40.0,0.51,14.17,7.23,46.0,1.783367475242315,2.2288626200298083
40.0,3.683967545753181,2.83,28.28,3.1220000000000003,14.17,7.23,18.1149574933352,1.783367475242315,2.2288626200298083
89.0,13.39,3.0,28.28,4.71,14.17,7.23,62.0,1.783367475242315,2.2288626200298083
18.55490025756345,3.683967545753181,2.83,28.28,0.51,14.17,7.23,18.1149574933352,1.783367475242315,2.2288626200298083
20.0,11.419999999999995,2.83,30.0,0.728,14.17,7.23,18.0,3.3970000000000016,5.362000000000002
18.55490025756345,10.78,2.83,28.28,0.914,14.17,7.23,18.1149574933352,3.2870000000000013,4.000000000000002
