AP1,FD,FTa1,FTa2,FTa3,FTb,FTc,LFY,TFL1a,TFL1c
52.40872868759516,5.454049561956552,27.46,16.91,8.5,68.91,36.39,7.297192025640527,2.8067158918893966,2.910386727421425
52.40872868759516,8.300000000000004,27.46,16.91,8.5,68.91,36.39,7.297192025640527,2.8067158918893966,2.910386727421425
52.40872868759516,5.454049561956552,27.46,16.91,8.5,68.91,36.39,7.297192025640527,6.975000000000001,5.555999999999997
52.40872868759516,5.454049561956552,27.46,16.91,8.5,68.91,36.39,8.700000000000003,2.8067158918893966,2.910386727421425
52.40872868759516,19.44,27.46,18.0,8.5,68.91,36.39,7.297192025640527,11.898000000000005,2.910386727421425
52.40872868759516,13.560000000000002,27.46,16.91,8.5,68.91,36.39,8.399999999999999,11.721999999999996,7.368000000000008
52.40872868759516,5.454049561956552,27.46,16.91,8.5,68.91,36.39,8.7,2.8067158918893966,2.910386727421425
89.0,5.454049561956552,27.46,19.0,8.5,68.91,36.39,19.300000000000004,2.8067158918893966,4.1519999999999975
52.40872868759516,6.729999999999998,27.46,23.0,8.5,68.91,36.39,7.297192025640527,2.8067158918893966,2.7489999999999988
106.0,5.569999999999993,27.46,24.0,12.0,68.91,36.39,7.297192025640527,2.8067158918893966,2.910386727421425
52.40872868759516,6.8400000000000025,27.46,16.91,8.5,68.91,36.39,42.2,2.8067158918893966,2.910386727421425
173.0,5.454049561956552,27.46,16.91,58.29999999999998,68.91,36.39,32.3,4.7479999999999976,4.561000000000004
193.0,23.44,27.46,16.91,8.5,68.91,36.39,58.5,2.8067158918893966,2.910386727421425
332.0,21.549999999999986,27.46,44.0,8.5,68.91,36.39,45.8,2.8067158918893966,19.123
56.0,5.454049561956552,27.46,16.91,12.1,68.91,36.39,7.297192025640527,2.8067158918893966,2.910386727421425
