AP1,FD,LFY,TFL1a,TFL1c
0,47.62,12.1,20.489,25.263
6,45.41,21.4,27.397,32.982
5,40.89,56.8,33.074,39.708
23,79.47,77.1,42.56100000000001,32.222
33,71.69,48.9,54.798,67.895
1,25.86,16.0,8.314,11.93
92,43.31,45.1,18.325,25.730999999999998
19,45.2,27.7,15.850999999999999,18.713
355,81.78,50.9,22.232,29.766
117,36.26,63.7,11.323,15.029000000000002
649,63.59,124.2,24.033,31.462
691,81.78,126.1,15.465,19.24
1025,112.37,95.7,16.039,40.876999999999995
